job_title,job_company_name,job_location,job_salary,job_details,job_date,today_date
Opportunity for Front End Developer,All Blue Infotech,"Bengaluru, Karnataka","₹30,00,000 - ₹80,00,000 a year","Develop User interfaces for Modern Rich Internet Applications with the latest Front-End Technologies.
Writing, testing and documenting JavaScript, HTML and CSS.",30+ days ago,21-07-21
Front End Developer,"Quor Technologies, Inc.","Bengaluru, Karnataka•Remote",Salary Not Mentioned,"_A full-time long-term project with an exciting venture-funded startup out of the US (Silicon Valley, NYC, Tel Aviv, and India) and a giant media/tech Partner…",12 days ago,21-07-21
Angular and Front End Expert,Fundexpert.in,"Bengaluru, Karnataka•Remote","₹3,50,000 - ₹6,00,000 a year","As a lead developer, you will be responsible for creating a top-level coding-base using Angular best practices.
Total work: 2 years (Preferred).",29 days ago,21-07-21
,IvyPointSolutions,"Bengaluru, Karnataka","₹6,00,000 - ₹12,00,000 a year","Solid 3+ years of web development experience building complex web UI/UX interactions.
Strong development experience with frameworks like VueJS.",8 days ago,21-07-21
Developer - Javascript,Jivox,"Bengaluru, Karnataka•Temporarily Remote","₹3,50,000 - ₹7,50,000 a year","Shift Timings: 1pm-10pm / 7pm-4am.
Relevant experience in Javascript: Min 1 year.
Hands-on in HTML5 and CSS3 and JavaScript.
Temporarily due to COVID-19.",30+ days ago,21-07-21
PHP Developer,Ovi Hosting Pvt Ltd,"Bengaluru, Karnataka•Remote","₹14,453 - ₹50,000 a month","You will also be required to maintain the central database and respond to requests from front-end developers.
Candidate would be responsible for maintaining and…",13 days ago,21-07-21
,Ultrafly Solutions private limited,"Bengaluru, Karnataka•Remote",Salary Not Mentioned,"Front-end development: 4 years (Preferred).
Minimum 3 years exp in react.",Just posted,21-07-21
,Oasys Tech Solutions Pvt Ltd,"Bengaluru, Karnataka","₹4,00,000 - ₹20,00,000 a year",Responsibilities: *• Designing and developing user interfaces with good UX using Angular8 best practices along with CSS3 framework ‘Bootstrap’.,2 days ago,21-07-21
,uravu labs,"Bengaluru, Karnataka","₹8,000 - ₹10,000 a month","Design and development of the website.
Intuitive dashboards, calculators, and simple data visualizations.
Should be able to weave together a comprehensive and…",Today,21-07-21
Front-End Developer,Morgan Stanley,"Bengaluru, Karnataka",Salary Not Mentioned,"EDUCATION LEVEL: Bachelor's Degree.
Morgan Stanley Wealth Management (MSWM) Technology is the global technology department responsible for the design,…",30+ days ago,21-07-21
,Zeta,"Bengaluru, Karnataka",Salary Not Mentioned,"Developing scalable web applications which are flexible and easy to grow.
Working closely with designers to achieve the team objectives.",1 day ago,21-07-21
Front End Developer,Replicon,"Bengaluru, Karnataka",Salary Not Mentioned,"The Replicon Marketing Team is seeking a Web Developer who will develop a variety of web-based assets including corporate website pages, HTML emails, and…",30+ days ago,21-07-21
Front End Developer,Cervello Inc,"Bengaluru, Karnataka",Salary Not Mentioned,"Working closely with other team members developing in an agile framework.
Proven experience with HTML5, CSS3, and Advanced Javascript/Ecmascript.",30+ days ago,21-07-21
Front-end Developer,Mobit Technology Solution,"Bengaluru, Karnataka",Salary Not Mentioned,"Assure that all user input is validated before submitting to back-end.
Build reusable code and libraries for future use.",30+ days ago,21-07-21
,Siemens,"Bengaluru, Karnataka",Salary Not Mentioned,"Realize the requirements and implement it with highest quality and on time.
Creation and implementation of unit, integration, sub-system and system level test…",5 days ago,21-07-21
,Adobe,"Bengaluru, Karnataka",Salary Not Mentioned,"Experience with unit, integration and end to end testing.
Designing foundational front-end infrastructure to support UI dialogs, marketing promotions templates,…",Today,21-07-21
,Siemens Technology and Services Private Limited,"Bengaluru, Karnataka",Salary Not Mentioned,"Responsible for detailed software design in the Presentation and Business logic layers.
Understand Usability & UI guidelines for Web applications.",6 days ago,21-07-21
,Goldklix Business Services Pvt Ltd,"Bengaluru, Karnataka•Temporarily Remote",Salary Not Mentioned,"Experience in MySQL, PHP, HTML5 stack.
Temporarily due to COVID-19.",7 days ago,21-07-21
